,Name,City,StartPrice,DistanceFromCityCentre,OverallScore,RatingCategory,Atmosphere,Cleanliness,Facilities,Location,Security,Staff,ValueForMoney,Longitude,Latitude
121,Hiromas Hostel in Akiba,Tokyo,2700,7.3,9.2,Superb,8.7,9.6,9.2,9.1,9.1,9.4,9.6,139.7702062,35.704546
122,Hiromas Hostel in Kanda,Tokyo,2000,7.6,9.3,Superb,8.4,9.8,9.5,9.1,9.2,9.4,9.3,139.7763124,35.6928219
123,Hiromas Inn  Chitose-Karasuyama,Tokyo,3000,0.0,7.5,Very Good,7.1,9.1,7.4,7.4,6.3,6.9,8.3,139.60332140000003,35.6711619
128,Homeikan,Tokyo,3600,6.3,9.3,Superb,9.1,9.4,9.1,9.1,9.1,10.0,9.1,139.75625,35.711231
129,Hop Step Inn,Tokyo,1500,8.5,9.1,Superb,8.5,9.6,9.3,8.3,9.6,9.4,9.2,139.7382791,35.7560182
132,Hostel bedgasm,Tokyo,2900,9.5,9.6,Superb,9.6,9.8,9.6,9.1,9.5,9.9,9.7,139.78903300000002,35.72135
134,Hostel Chapter Two Tokyo,Tokyo,2700,9.8,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,139.797217,35.709305
136,hostel DEN,Tokyo,2400,7.7,9.4,Superb,9.1,9.7,9.3,9.0,9.7,9.7,9.4,139.7766966,35.6910315
154,Hostel Pumpkey Tokyo,Tokyo,3400,2.3,8.7,Fabulous,8.3,9.0,8.5,9.0,8.7,9.0,8.3,139.716957,35.686319
160,Hostel WAQWAQ Tokyo Ueno Asakusa,Tokyo,1600,9.0,8.9,Fabulous,8.9,9.6,9.0,8.4,8.5,9.0,8.7,139.785178,35.717633
163,Hostel＆Café East57 Asakusabashi,Tokyo,2200,8.7,8.7,Fabulous,7.8,9.3,7.8,9.1,9.0,9.1,8.6,139.78765090000002,35.696757899999994
166,Hotel Graphy Nezu,Tokyo,1800,7.6,8.9,Fabulous,8.5,9.1,9.2,8.5,9.3,9.3,8.8,139.768667,35.717269
174,Hotel&Hostel On the Marks Tokyo Kawasaki,Tokyo,1900,18.1,9.6,Superb,9.6,10.0,9.6,8.7,9.9,9.9,9.6,139.69858080000003,35.52699260000001
176,Ikidane House,Tokyo,2000,8.2,9.1,Superb,8.0,9.6,8.8,9.2,9.2,9.6,9.2,139.7604533,35.7373998
177,Ikidane House Asakusa Hatago,Tokyo,2000,10.0,8.9,Fabulous,10.0,10.0,10.0,4.0,10.0,8.0,10.0,139.7950489,35.722089000000004
183,Imano Tokyo Ginza Hostel,Tokyo,2700,7.6,8.9,Fabulous,8.3,9.3,8.9,8.8,9.3,9.2,8.7,139.77290569999997,35.6723059
184,Imano Tokyo Hostel,Tokyo,3300,1.5,8.6,Fabulous,7.7,8.9,8.1,9.3,8.6,9.2,8.1,139.7077128,35.6935053
185,IRORI Nihonbashi Hostel and Kitchen,Tokyo,2100,8.3,9.0,Superb,8.9,8.9,8.9,9.0,9.2,9.3,8.8,139.7836767,35.692653799999995
186,Iza Tokyo Asakusa Guesthouse,Tokyo,2500,9.9,9.3,Superb,9.3,9.3,9.2,9.4,9.2,9.6,9.2,139.799302,35.706708
191,J's Backpackers,Tokyo,1600,16.6,8.3,Fabulous,8.0,10.0,8.0,4.0,10.0,8.0,10.0,139.8623809,35.745044
193,Japanize Guest House,Tokyo,1900,8.1,7.6,Very Good,7.0,6.0,7.7,8.7,7.7,8.0,8.3,139.7816602,35.6925343
